"user_id","gender","profession","used_vr_ar","impact_tech","effectiveness","benefit_vr_ar","challenge_cost","challenge_awareness","challenge_equipment","challenge_realism","future_vr_ar","concerns_accuracy","concerns_cost","concerns_technical","concerns_privacy","timestamp"
"id_1","Male","Real Estate Agent","No, but I am interested","Neither","Somewhat effective","Expands market reach (remote buyers)",0,0,1,1,"It will become an essential tool for property buying/selling",0,1,1,1,2023-01-29 05:22:14.117785
"id_2","Female","Real Estate Agent","Yes, but rarely","Neither","Somewhat effective","Increases confidence in purchasing decisions",1,0,0,1,"It will not have a significant impact",0,1,1,0,2023-09-13 23:39:06.512949
"id_3","Male","Buyer/Renter","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Increases confidence in purchasing decisions",0,1,0,1,"It will grow but remain a niche tool",0,1,0,0,2023-11-06 00:55:43.591847
"id_4","Female","Buyer/Renter","Yes, frequently","Both equally","Extremely effective","More immersive than photos/videos",0,0,0,0,"It will grow but remain a niche tool",0,0,0,1,2023-09-01 23:16:32.26629
"id_5","Non-binary","Real Estate Agent","No, I have no interest","AR – Interactive overlays on real-world properties","Extremely effective","Increases confidence in purchasing decisions",0,0,1,1,"It will become an essential tool for property buying/selling",1,1,1,0,2023-10-03 06:55:35.453016
"id_6","Male","Buyer/Renter","Yes, but rarely","VR – Full 3D property tours","Extremely effective","More immersive than photos/videos",0,0,1,1,"It will become an essential tool for property buying/selling",1,0,0,1,2023-10-12 06:43:19.189788
"id_7","Female","Investor","No, I have no interest","VR – Full 3D property tours","Extremely effective","Increases confidence in purchasing decisions",1,0,0,1,"It will become an essential tool for property buying/selling",1,1,1,0,2023-05-19 10:13:02.801785
"id_8","Female","Investor","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Increases confidence in purchasing decisions",0,0,1,1,"It will grow but remain a niche tool",0,0,1,0,2023-05-10 08:48:49.540171
"id_9","Female","Property Developer","No, but I am interested","VR – Full 3D property tours","Somewhat effective","Expands market reach (remote buyers)",1,1,0,0,"It will grow but remain a niche tool",0,0,0,1,2023-06-29 14:59:11.949114
"id_10","Female","Real Estate Agent","Yes, but rarely","VR – Full 3D property tours","Somewhat effective","More immersive than photos/videos",1,1,0,0,"It will become an essential tool for property buying/selling",0,1,0,0,2023-01-21 22:17:40.740273
"id_11","Prefer not to say","Real Estate Agent","Yes, but rarely","VR – Full 3D property tours","Neutral","Saves time for buyers and sellers",1,1,1,0,"It will become an essential tool for property buying/selling",0,1,1,0,2023-09-08 21:19:38.427361
"id_12","Female","Buyer/Renter","No, but I am interested","Neither","Somewhat effective","Saves time for buyers and sellers",0,0,0,1,"It will not have a significant impact",0,0,1,1,2023-12-16 14:50:29.715336
"id_13","Female","Property Developer","No, but I am interested","AR – Interactive overlays on real-world properties","Extremely effective","Saves time for buyers and sellers",0,1,1,1,"It will become an essential tool for property buying/selling",0,0,1,1,2023-09-30 02:52:31.672927
